output/AVL_input_seq_300000_100.csv
tempoInsert, qtdBuscas, tempoBusca
0.157783,100,0.000055
0.130857,100,0.000055
0.132292,100,0.000051
0.132696,100,0.000067
0.130451,100,0.000064
0.130684,100,0.000052
0.129696,100,0.000055
0.131835,100,0.000055
0.130896,100,0.000057
0.130749,100,0.000053
0.131407,100,0.000066
0.129310,100,0.000063
0.129857,100,0.000052
0.132973,100,0.000053
0.130939,100,0.000061
0.129778,100,0.000055
0.134059,100,0.000052
0.131160,100,0.000061
0.131135,100,0.000066
0.137147,100,0.000052
0.131229,100,0.000058
0.130623,100,0.000066
0.131278,100,0.000059
0.129901,100,0.000050
0.129999,100,0.000061
0.130382,100,0.000057
0.141432,100,0.000053
0.131488,100,0.000058
0.134649,100,0.000066
0.130717,100,0.000051
