output/Lista_input_rand_1000000_100.csv
tempoInsert, qtdBuscas, tempoBusca
0.133213,100,0.144911
0.130952,100,0.143692
0.131102,100,0.143796
0.130622,100,0.144907
0.130736,100,0.144109
0.130587,100,0.146593
0.130867,100,0.146506
0.166400,100,0.144986
0.131560,100,0.143783
0.130898,100,0.146915
0.131277,100,0.144018
0.130853,100,0.155082
0.130490,100,0.146836
0.130810,100,0.144839
0.131033,100,0.144877
0.130447,100,0.144855
0.131005,100,0.145729
0.130561,100,0.144821
0.130684,100,0.143931
0.130651,100,0.144590
0.133836,100,0.144372
0.130430,100,0.143897
0.130721,100,0.144832
0.130254,100,0.144231
0.130552,100,0.143987
0.131847,100,0.144712
0.130555,100,0.143857
0.130459,100,0.143967
0.131239,100,0.143645
0.130654,100,0.144710
