output/Lista_input_seq_400000_1000.csv
tempoInsert, qtdBuscas, tempoBusca
0.040789,1000,0.573792
0.040866,1000,0.572233
0.040740,1000,0.571784
0.040706,1000,0.571912
0.040654,1000,0.572545
0.040783,1000,0.578722
0.040935,1000,0.575970
0.040736,1000,0.569719
0.040749,1000,0.570455
0.040694,1000,0.573353
0.040691,1000,0.569396
0.040722,1000,0.570292
0.041247,1000,0.570079
0.040821,1000,0.571336
0.040715,1000,0.570249
0.040763,1000,0.570045
0.040846,1000,0.571227
0.040748,1000,0.572965
0.040697,1000,0.569141
0.040753,1000,0.570832
0.040684,1000,0.572683
0.040707,1000,0.570393
0.040838,1000,0.574010
0.040736,1000,0.573427
0.040675,1000,0.569892
0.040854,1000,0.569667
0.040759,1000,0.572174
0.040920,1000,0.571436
0.040709,1000,0.569723
0.042833,1000,0.571165
